ID;FR;EN;ZH
TutoQ16R1;"Tu es donc là pour me guider et veiller à ce que j’agisse avec clairvoyance ?
";So you are here to guide me, and be sure I act with perspicacity ?;那么你是来指导我，确保我的行为是明智的？
TutoQ17;Qu'importe ce que tu veux voir, c'est la réalité de ce Passage que je me dois de te montrer. Tu ne pourras pas toujours éviter de te salir les mains, c’est ainsi.;No matter what you want to see, it's first and foremost the truth of the Passage that I have to show you. You won't always be able to avoid a little dirt on your hands. That's how it is, here.;我是来告诉你这段话的真相的。你做了一个善意的举动，但你不可能永远不弄脏你的手，这里就是这样。
TutoQ17R1;"Je vois. Faire les bons choix ne sera pas suffisant, c’est ce que tu essayes de m’expliquer ?
";I understand. The right decisions won't always be good enough, is that what you're trying to tell me?;我明白了 做正确的选择并不总是足够的，这就是你想告诉我的吗？
TutoQ18;Tu auras la réponse à ta question en temps voulu. En attendant, tu vois ce qu’il reste de cette pauvre âme errante?;You will have your answer in due time. Meanwhile, do you see what is left of this poor wandering souls ?;你会在适当的时候得到答案的 同时，你看到这些可怜的游魂还剩下什么了吗？
TutoQ18R1;Tu parles de ces cristaux ?;What about those cristals?;你是在说那些水晶吗？是什么？
TutoQ19;Ces cristaux, c’est ce qu’il reste d’une âme une fois réduite à son état primaire : son Essence. Prends les et garde les avec le plus grand respect, n’oublie pas d’où ils viennent.;Those Crystal is what is left of a souls once it's reduced to it's primal form, the essence. Take it and keep them with utmost respect, do not forget where they come from.;那些 水晶 是灵魂还原到最原始的形态后剩下的东西，也就是灵魂的本质。拿着它，以最崇高的敬意保存它们，不要忘记它们来自何方。
TutoQ19R1;[ prendre les cristaux d’Essence ];Take the souls crystal;拿走灵魂水晶
TutoQ20;Cependant, tu ne vas pas garder ces cristaux éternellement. Avançons, que je puisse te montrer comment rendre un dernier hommage à ces âme fragmentées.;Nontheless, you will not keep them eternally. Let's move on, so I can show you how to make a last tribute to those fragmented souls.;尽管如此，你也无法永远保存它们。让我们继续前进，让我来教你们如何向那些支离破碎的灵魂致以最后的敬意。
TutoQ21;Ces Autels étaient là bien avant nous et tout ce que l’on sait à leur sujet c’est qu’elles permettent de renvoyer dans le grand cycle les fragments d’âme contenus dans les cristaux.;These altars where there long before us, and all we know about them is that they allow to bring back into the great cycle the souls contained into the crystals;这些祭坛早在我们之前就存在了，我们只知道它们能让水晶中的灵魂回到大轮回中去
TutoQ22;En échange, cette statue a la faculté de raviver ta mémoire. Pour le moment, tu n’es que l’ombre de tes existences passées. Il est temps de récupérer la force qui était tienne.;In exchange, this statue has the abilities to revive some of your memories. For now you are naught but a shadow of your path existence. It's time for you to bring back the strengh that was yours.;作为交换，这座雕像有能力唤醒你的部分记忆。现在，你只是你人生道路上的一个影子。是时候让你找回曾经的力量了。
TutoQ23;"Parfait ! Prends le temps qu’il te faut, explore ta mémoire. Tu n’auras qu’à me dire quand tu seras prêt.
";Perfect ! Take all the time you need to explore your memories. Just tell me when you are ready.;完美 ！你可以尽情探索你的记忆。准备好了就告诉我。
TutoQ23R1;Je suis prêt !;I am ready !;我准备好了！
TutoQ24;"Ha ! J’apprécie ton enthousiasme, tu me plais ! Mais avant de partir, prends ces nouvelles aptitudes avec toi.
";Ha ! I appreciate your enthusiasm, I like you ! But before you go, keep those new abilities with you,;哈！我很欣赏你的热情 我喜欢你 但是在你走之前 把这些新能力带在身边
TutoQ24R1;C’est fait ! On peut y aller ?;It's done ! Can we go now ?;搞定了 我们可以走了吗？
TutoQ25;Tu vas avoir l’occasion de retrouver tes sensations : j’ai l’impression que quelqu’un t’attend avec impatience et a hâte de régler ses comptes avec toi.;Don't worry, you will have the occasion to find again your sense : It seems that someone here is waiting for you impatiently, he seems to want to have a word with you...;别担心，你会有机会重新找回你的感觉的：这里似乎有人在等你等得不耐烦了，他似乎想和你说几句话......
TutoQ26;"Oui, certaines âmes errantes ont un lien particulier avec toi et tes vies passées. Ce sera l’occasion de vous expliquer et faire table rase du passé… Enfin, si tu y mets un peu du tiens.
";Some wandering souls have a tight connection with you and your past lifes. It'll be a good occasion to clear the air and make anew of the past. That's if you do your part. ;有些游魂与你和你的前世有关。这将是一个解释自己、重新认识过去的机会......只要你做好自己的本分。
TutoQ26R1;Je n’ai aucune idée de qui est cet homme… Eh toi ! Tu me veux quoi au juste ?;I have no idea who this man is... Hey, you! What do you want from me ?;我不知道这个人是谁... 喂 你想从我这儿得到什么？
TutoQ27;"J’imagine que c’est ta façon d’aborder une discussion calme… Mais je doute qu’il soit en état de te répondre, il a l’air mal en point.
";I suppose this is your idea of a calm chat... But I doubt he'll answer your call, he seems poorly.;我想这就是你所说的冷静讨论吧......但我怀疑他能不能回答你，他看起来状态很差。
TutoQ27R1;Du coup, qu’est-ce qu’on fait ?;What exactly are we supposed to do with him?;那我们该怎么办？打一顿就完事了？
TutoQ28;"A toi d’utiliser tes compétences pour t’en débarrasser.
";Use your skills to get rid of him. ;这次不行，对不起，我不会把脏东西弄到制服上的。用你的技能干掉他。
TutoQ29;Utiliser tes compétences te demandera de la Volonté et parfois de la Conscience.;To use your skills, you will need Willpower, and sometimes Conscience. ;使用技能需要意志力，有时还需要意识。
TutoQ30;La première règle d’un affrontement est: chacun son tour. N’oublie pas d’indiquer aux autres âmes quand ton tour est fini.;The first rule in a fight is to take turns. Don't forget to warn the other souls when you're done. ;战斗的第一条规则是：轮流上场。轮到你时，不要忘记告诉其他灵魂。
TutoQ31;La seconde règle d’un affrontement est: plus tu es rapide, plus tu as l’initiative. Tout dépendra donc de ta Vitesse.;The second rule is: The faster you are, the quicker you can act. It'll all depend on your Speed. ;第二条规则是 ： 速度越快，行动就越快。一切都取决于你的速度。
TutoQ32;"L’avantage de ces règles, c’est de te permettre de récupérer un peu et d’avoir à nouveau toute ta Volonté au début de ton tour.
";With those rules in place, you'll be able to recover when others act, and to regain all your Willpower at the beginning of your turn. ;这些规则的好处是，你可以稍作恢复，并在下一回合开始时拥有全部意志力，准备好了吗？
TutoQ32R1;On va bien voir, laisse moi faire !;We shall see, let me do it !;让我们拭目以待吧
TutoQ33;"Certaines compétences nécessitent d’avoir une cible pour être utilisées.
";Some skills require a target.;有些技能必须有目标才能使用
TutoQ34;Faire du mal à une autre âme augmentera sa Tension. Une fois celle-ci à son maximum, l'âme gagnera un tour supplémentaire.;Hurting another soul will increase their Tension. Once it reaches the maxiumum, they'll gain an additional turn.;伤害灵魂会增加它的紧张度，一旦达到最大值，它就会有第二个回合。
TutoQ35;"Tu n’es pas obligé de seulement frapper, tu peux aussi te renforcer. Tu devrais essayer !
";It's not mandatory to only hit, you can also strengthen yourself, you should try it !;并不是一定要打，你也可以强化自己，你应该试试！
TutoQ36;Dans ces circonstances, tu as aussi le droit d’être tendu. Si ta Tension atteint son maximum, tu auras un second tour.;In those circonstance, you have every right to be tense as well. If your Tension reaches it's maximum, you'll also receive an additional turn. ;在这种情况下，你也有权紧张。如果你的紧张达到了极致，你就会有第二次机会！
TutoQ37;Toutes mes félicitations, tu t’en es bien sorti ! Mais il me reste une dernière chose à te montrer.;You have my congratulation ! You did well ! But there is still one last thing that I must show you.;我向您表示祝贺！你做得很好！但还有最后一件事我必须告诉你。
TutoQ37R1;Laisse moi le temps de ramasser son Essence et je suis à toi !;Let me the time to pick he's essence and i am yours.;给我时间去采摘他的精华，我就是你的了。
TutoQ38;"Tu sais déjà que ces cristaux peuvent être rendus au grand cycle, mais il en existe une autre utilisation, un peu moins… Enfin, un peu plus…
";You already know that those crystal can be brought back to the great cycle, but there is another use...A little less... A bit more...;你已经知道那些水晶可以带回大循环，但还有另一种用途......少一点...... 多一点...
TutoQ38R1;Crache le morceau, on a pas toute la journée !;Come on say it ! We don't have all days !;说吧！我们没有那么多时间！
TutoQ39;"Oui bon ça va, j’y viens ! Tu peux les utiliser pour restaurer ta Radiance, mais c’est tout à fait égoïste et très peu respectueux de faire ça, il faut en être conscient !
";Okay okay im on it ! As i was saying, you can use them to restore some radiance, but it's very selfish and not respectful to do that, you must be aware of that !;好了好了，我这就去！就像我刚才说的，你可以用它们来恢复一些光彩，但这样做是非常自私的，也是不尊重人的，你必须意识到这一点！
TutoQ39R1;Egoïste ? Ils sont à moi ces cristaux non ? J’en fais ce que bon me semble.;Selfish ? They are mine those crystal aren't they ? I do what I want with them.;自私？它们是我的水晶，不是吗？我想怎么做就怎么做。
TutoQ40;"On peut voir les choses comme ça, effectivement… Mais saches que la seule façon qu’auront ces résidus d’âmes pour retourner au grand cycle sera la disparition de leur hôte.
";You can see it that way... But i'll let you know that the only way these soul will return to the grand cycle, is with the disappearence of they're host.;你可以这么看... 但我要告诉你 只有宿主消失了 这些灵魂才能回到大循环中去
TutoQ40R1;"Je ne compte pas disparaître de si tôt, ils vont devoir se montrer patients.
";I do not intend to disapear so soon. They will have to be patient.;我不打算这么快消失 他们得耐心等待
TutoQ41;Bien, tu sembles déterminé. Fais donc ton choix. Mais garde à l’esprit que tu pourrais aussi en consommer durant un affrontement, mais pour une fraction de l’effet. Cependant, ça pourrait te sortir d’une mauvaise passe, qui sait.;Good, you seem determined. It's time for a choice now. Keep in mind that you can also consume them during a fight, but only for a small faction of its potential effect. However, that might still help you out of a rocky situation, who knows. ;好吧，看来你下定决心了 做出你的选择吧 但要记住，你也可以在战斗中吃掉它们，不过效果会差一点。但它能帮你度过难关，谁知道呢。
TutoQ42;Oh ! Tu as été chanceux ! Il arrive parfois qu’on tombe sur des Souvenirs perdus, c’est le genre de chose qu’on garde précieusement.;Oh lucky you! Sometimes, we can stumble upon a lost Memory! You are to keep it preciously. ;哦，你很幸运！有时我们会失去一段记忆，那是我们珍爱的东西。
TutoQ43;"Mais attends… C’est bien trop tôt pour que tu sois capable d’encaisser un tel Souvenir, ça risquerait d’avoir de graves conséquences sur ta traversée !
";Oh but wait, it's way too soon for you to handle such a Memory. It could have great consequences on your journey. ;但等等... 对你来说，现在处理这样的记忆还为时过早，它会给你的人生旅途带来很大的影响！
TutoQ43R1;"Moi je le trouve très bien ce souvenir. En plus, il est à moi, je ne te demande pas ton avis !
";But I like this Memory. And it's mine now, I don't ask for your opinion . ;我觉得这段回忆很美好 这是我的记忆 我没征求你的同意！
TutoQ44;"Navré, mais c’est mon rôle de veiller au bon déroulement du cycle. Je réquisitionne donc ce Souvenir, c’est pour ton bien, crois moi !
";My apologies, but my duty is to take care of the good conduct of the cycle. I have to take this Memory from you. But it's for your own good, trust me! ;我很抱歉，但这是我的职责，我征用这段记忆是为了你好，相信我！
TutoQ44R1;"Je sais reconnaître une arnaque quand j’en vois une… Mais avec ou sans ce truc, je vais réussir, alors garde le si tu y tiens tant !
";I know a scam when I see one. However, it doesn't matter if I have it or not, I'll succeed anyway. You can keep it, if it's so important to you! ;我一看就知道是骗局...... 但不管有没有那东西，我都会去做，如果对你有意义，就留着吧！
TutoQ45;"C’est là que nos routes se séparent. Je parie que tu en avais assez de m’avoir dans les parages, pas vrai ?
";This is where our road split. I feel like you have enough of me babling like that, am I right ?;这就是我们的分道扬镳之处。我觉得你已经听够我这样喋喋不休了，对吧？
TutoQ46;"En tout cas, ça faisait longtemps qu’une visite n’avait pas été si animé haha !
Essaye de ne pas trop mettre le bazard lors de ton séjour ici.
";Anyway, it's been a while a visit hadn't been so animated, haha! Try not to wreak havoc during your stay here. ;不过，我已经很久没有这么生动了，哈哈！在这里的旅途中，尽量不要太混乱。
TutoQ46R1;Je vais faire mon poss…;I'll do what I ca...;我会尽我所能...
TutoQ47;"Je peux savoir ce qu’il se passe ici ?
Oh, je vois… Ne me dit pas que tu fais encore du bénévolat à aider un pauvre bougre sans le moindre potentiel…";What's going on here? Oh, I understand... You're back at volunteering, helping a poor soul without potential again... ;这是怎么回事？Oh.... 我明白了，你又在做志愿者了，帮助那些没有任何潜能的可怜人......
TutoQ47R1;"Attends, c’est de moi qu’il parle là !?
";Wait, is that me you're talking about!? ;等等，你是在说我吗？
TutoQ48;"Alors, déjà, non, il a plus de potentiel que le dernier, ne serait-ce qu’un peu ! Et ensuite, j’accomplis ma mission. Tu sais, parler aux âmes perdues, tout ça tout ça…
";To begin with, no, he's got way more potential than the last one, at least a little! And also, I'm just completing my mission. You know, talking to the lost souls and all that ... ;首先，不，他比上一个更有潜力，哪怕只是一点点.....！其次，我在完成我的任务，你知道的，和那些迷失的灵魂交谈什么的......
TutoQ48R1;"Vous avez décidé de faire comme si je n’étais pas là, c’est ça !?
";Are you really ignoring me right now? ;你决定当我不存在？就这样？
TutoQ49;"LEUR PARLER !? Après plusieurs milliers d’années tu n’arrives toujours pas à comprendre qu’on doit rester à distance et les observer !? 
On va encore avoir des problèmes…";TALKING TO THEM!? After thousands of years, you still don't understand we have to watch them from afar!? Oh boy, we're gonna be in so much trouble... ;就这样？几千年了，你还不明白 我们必须保持距离，观察他们？我们还会有麻烦的......
TutoQ49R1;Attendez ! Comment ça des milliers d’années !?;Wait! What do you mean, thousands of years !?;等等 你说 一千年 是什么意思？
TutoQ50;Je suis désolé, je ne voulais pas t’attirer d’ennuis… Mais tu sais comme je suis, c’est plus fort que moi…;I'm so sorry. I didn't mean to cause any trouble... But you know me, I can't help myself... ;对不起... 我不想给您添麻烦......您知道我的脾气，比我强多了。
TutoQ51;"
Oui, tu as bon coeur, parfois un peu trop si tu veux mon avis.";I know, you have a good heart. Sometimes even a bit too much, in my opinion. ;是的，你的炉灶很好，如果你想听我的意见，那就有点过分了。
TutoQ51R1;Arrêtez de m’ignorer !;Stop ignoring me !;别再无视我了！
TutoQ52;Oh mince ! Désolé que tu aies dû assister à cette scène, jeune âme errante…;Ah, crap! Sorry you had to see that, young wandering soul. ;Oups，很抱歉你不得不协助这一幕，迷失的年轻人......
TutoQ53;Tu ne vas quand même pas t’excuser ! C’est une âme errante, alors qu’elle retourne errer ! Du balais !;Oh come on, don't apologize to him! He's a wandering soul, better get back at wandering! Hush, get out of the way! ;你不能给他找借口！他是个游魂，回去游荡吧！让开！
TutoQ54;J’ai perdu assez de temps avec vous deux, mais la prochaine fois, tu ferais mieux de tenir ta langue, avorton.;I lost enough time with the both of you, but next time you should hold your mouth, little runt. ;和你们俩在一起我耽误的时间够多了，不过下次你该闭上嘴巴了，小矮子
TutoQ55;Tu es content ? On va penser que nous n’avons aucun savoir vivre…;Happy now? Everyone's gonna think we have no manners... ;你高兴了？他会认为我们没有礼貌
TutoQ56;J’y suis peut-être allé un peu fort, je dois l’admettre… Il avait l’air particulièrement simple à énerver celui-là, je sens qu’il va causer des problèmes.;...I was a bit brutal, I have to admit. That one seemed to have very obvious anger issues, I have a hunch that he'll cause future problems. ;......我必须承认，我是有点粗暴......不过，他似乎很容易生气...... 我觉得他将来会是个麻烦。
TutoQ57;À toi d'utiliser tes compétences pour t'en débarrasser.;You can use your skills to get rid of it. ;
TutoQ58;Toutes mes félicitations, tu t’en es bien sorti ! Mais il me reste une dernière chose à te montrer. Tu vois ce qu'il reste de cette pauvre âme errante ?;Congratulations, well done! One last thing, do you see this poor wandering soul's remains ? ;
TutoQ59;Ces “cristaux”, c’est ce qu’il reste des âmes une fois réduites à leur état primaire : leur Essence. Tu peux les prendre et les rendre au grand cycle dans un autel, un échange équitable pour te renforcer, ou les consommer pour te soigner.;"These ""cristals"" are the soul's remains once reduced to it's primary form: Essence. You can take them, either to introduce them back to the great cycle at an altar, a fair trade to strengthen yourself, or consume them to heal yourself. ";
TutoQ59R1;Mon choix est fait.;My choice is done.;
CombatE1N1I;Bienvenue à toi mon fils ! Le royaume de notre Seigneur te tend les bras, tu peux te reposer à présent !;Welcome my child! You are in the Lord's realm. You may rest in peace here.;欢迎你，我的孩子！你来到了上帝的国度。你可以在此安息
CombatE1N1RJ1;S'il y a un seigneur en ces lieux, je souhaite le rencontrer. Mène moi à ton roi.;Take me to this lord of yours. ;带我去见你的主
CombatE1N1RE1;Notre roi, comme tu l'appelles, est tout autour de nous, même en ton coeur, car il a créé ce paradis !;Can you not feel our Lord's embrace? He is all around us. He is in your own heart. We owe him everything.;你感受不到主的拥抱吗？他就在我们身边 他就在你的心中 我们欠他一切
CombatE1N1RJ2;Il n'y a pas de roi dans mon coeur, tu dois faire erreur, vieil homme.;You must be mistaken, old man. There is no lord in my heart.;你一定弄错了，老头 我心中没有主
CombatE1N1F1;Tu dis vrai, j'ai fait erreur, tu n'étais qu'un païen de plus.;Forgive me Lord for welcoming a Heretic into your hallowed halls. ;主啊，请原谅我把一个异教徒 迎进了您神圣的殿堂
CombatE1N1RJ3;"Ton ""roi"" ne m'évoque rien, et s'il se dresse sur mon chemin, ce ne sera qu'un seigneur de plus dont la famille recevra la tête devant la porte.";These words mean nothing to me. If he dares stand in my way, this lord of yours won't be the first one i'll behead for his family to see.;你拒绝了主爱的怀抱 你将感受到他的愤怒
CombatE1N1F2;Tu refuse l'amour du seigneur ?! Tu recevras donc son chatiment !;You refuse our Lord's loving embrace. You will feel his wrath instead.;你拒绝主爱的拥抱 你将感受到他的愤怒
CombatE1N1RJ4;On m'a dit qu'il fallait traverser cet endroit pour me réincarner, tu comprendras que je n'ai aucune envie de me reposer;I was told that the path back to my world would lead me through here. I cannot stop and rest, I must be on my way.;我被告知回到我的世界的路 会带我穿过这里 我不能停下来休息 我必须上路了
CombatE1N1RE2;C'est l'enfer qui t'attend si tu quittes ce paradis ! Quel imbécile choisirait de quitter un endroit si délicieux ?;It's hell that await you if you leave this paradise ! What fool would leave such a beautiful place ?You would forsake our Lord's paradise for the hellfire and damnation that awaits you outside? Surely you jest.;如果你离开这个天堂，等待你的将是地狱！哪个傻瓜会离开这么美丽的地方？ 你会为了外面等待你的地狱之火和诅咒而放弃主的天堂？你肯定是在开玩笑
CombatE1N1RJ5;Délicieux ? Il pue la chaire calcinée ton paradis.;Paradise? Your hallowed halls reek of burnt flesh.;天堂？你神圣的殿堂散发着烧焦的肉味
CombatE1N1RJ6;J'ai fait plus de guerres que tu n'a de doigts pour les compter, ton enfer ne m'effraie pas, vieil homme.;I've bled and suffered through a hundred wars. A little hellfire won't stop me.;我经历过上百次战争的流血和痛苦 一点地狱之火也阻止不了我
CombatE1N1F3;Si tu tiens tant à souffrir, voici un avant goût de ce qui t'attend.;Who am I to keep you from your suffering. Here is a little taste, as a parting gift.;我有什么资格阻止你受苦呢？这里有一点味道 作为临别礼物
CombatE1N1F4;Préserver la pureté de ce lieu nécessite des sacrifices, tu n'en seras qu'un de plus.;If you won't stay here as a guest. You will rest here as a corpse. Our Lord welcomes your sacrifice.;如果你不愿意留在这里做客 你将在此长眠 我们的主欢迎你的牺牲
CombatE1N2I;Eh toi ! T'as vraiment l'air très fort ! Viens avec nous, comme ça on aura plus peur des autres !;Traveller! That's a big knife. You come with us and we won't be afraid no more. You are our Big Knife Man now.;旅行者 那是把大刀 你跟我们走 我们就再也不怕了 你现在就是我们的大刀侠了
CombatE1N2RJ1;"Vous rejoindre ? Qui ca ""vous"" ? Et vous êtes combien ? Parce que j'ai pas besoin de boulets, je me débrouille très bien tout seul.";"What? There is no ""us"". I work alone. I don't need you runts weighing me down.";什么？没有 我们 我独自行动 我不需要你们这些侏儒来拖累我
CombatE1N2RE1;Maintenant, on est plus que trois, moi, ma soeur et le maitre. Mais le maitre il a dit, tant qu'on reste ensemble on survivra ! ;It's just my Master, my sister and I. There were others but… anyway, If we stick together, we will survive. I know this. The Master has spoken it.;只有我师父、我妹妹和我 还有其他人，但... 总之，只要我们团结一致，就能活下去 这我知道 主人已经说过了
CombatE1N2RJ2;"En regardant ton ""maitre"", je ne vois ni un homme, ni un protecteur. Alors bonne chance gamine. Maintenant hors de mon chemin ! ";Your Master is neither man nor protector. Run along runt, I have nothing else to say to you. Scram.;你的主人既不是人 也不是保护者 走吧，矮子，我没话跟你说了 滚开
